Energy	ln(density of states)
-13988	663.979982	3764.369903
-13984	664.900468	3763.779908
-13980	665.784013	3763.251894
-13976	666.674028	3762.588933
-13972	667.584779	3762.007876
-13968	668.497194	3761.350878
-13964	669.357362	3760.759383
-13960	670.288835	3760.222813
-13956	671.181123	3759.551435
-13952	672.076845	3758.971571
-13948	672.978899	3758.401487
-13944	673.879045	3757.800002
-13940	674.766420	3757.187140
-13936	675.657304	3756.536876
-13932	676.554384	3755.984613
-13928	677.452989	3755.411243
-13924	678.329774	3754.804441
-13920	679.227937	3754.204209
-13916	680.126695	3753.634071
-13912	681.020341	3753.017891
-13908	681.904191	3752.372806
-13904	682.819292	3751.714327
-13900	683.700624	3751.200212
-13896	684.607866	3750.557804
-13892	685.499940	3749.962203
-13888	686.369859	3749.438822
-13884	687.277238	3748.790684
-13880	688.160020	3748.218336
-13876	689.073442	3747.596778
-13872	689.948396	3747.061705
-13868	690.851686	3746.417640
-13864	691.738130	3745.855774
-13860	692.649904	3745.237103
-13856	693.522676	3744.660707
-13852	694.432115	3744.014505
-13848	695.278963	3743.465573
-13844	696.205492	3742.810837
-13840	697.093095	3742.226350
-13836	697.995409	3741.691064
-13832	698.878236	3740.995133
-13828	699.746812	3740.341722
-13824	700.615083	3739.823223
-13820	701.539537	3739.231106
-13816	702.408479	3738.590011
-13812	703.291780	3738.017695
-13808	704.180101	3737.443390
-13804	705.071611	3736.873933
-13800	705.951372	3736.312085
-13796	706.848741	3735.659488
-13792	707.721666	3735.055530
-13788	708.604768	3734.406044
-13784	709.509798	3733.734831
-13780	710.367189	3733.223911
-13776	711.269823	3732.710489
-13772	712.149278	3731.981388
-13768	713.025865	3731.370005
-13764	713.912569	3730.829127
-13760	714.794069	3730.224356
-13756	715.677080	3729.656239
-13752	716.557863	3729.014131
-13748	717.443513	3728.388623
-13744	718.329835	3727.814668
-13740	719.177888	3727.104825
-13736	720.079835	3726.572913
-13732	720.966142	3725.963674
-13728	721.820100	3725.352800
-13724	722.704530	3724.746499
-13720	723.607072	3724.152120
-13716	724.461793	3723.617760
-13712	725.343248	3723.007700
-13708	726.227647	3722.338835
-13704	727.101793	3721.805820
-13700	728.004869	3721.181995
-13696	728.873094	3720.628735
-13692	729.752107	3719.959812
-13688	730.628648	3719.452775
-13684	731.475389	3718.817923
-13680	732.399599	3718.192971
-13676	733.258485	3717.568552
-13672	734.158189	3716.937241
-13668	735.023225	3716.421645
-13664	735.907045	3715.741687
-13660	736.788347	3715.165396
-13656	737.652101	3714.554531
-13652	738.533678	3713.905242
-13648	739.395952	3713.326253
-13644	740.274568	3712.778172
-13640	741.153566	3712.114883
-13636	742.025102	3711.531032
-13632	742.897356	3710.904330
-13628	743.764467	3710.330637
-13624	744.636568	3709.785916
-13620	745.501832	3709.095847
-13616	746.397401	3708.491123
-13612	747.239305	3707.884552
-13608	748.107942	3707.357870
-13604	748.967210	3706.714886
-13600	749.851015	3706.051777
-13596	750.715700	3705.486248
-13592	751.594789	3704.932380
-13588	752.456468	3704.282344
-13584	753.350969	3703.628935
-13580	754.205278	3703.048170
-13576	755.071809	3702.462373
-13572	755.938463	3701.753235
-13568	756.787111	3701.168816
-13564	757.661149	3700.544830
-13560	758.507158	3699.849594
-13556	759.393968	3699.351792
-13552	760.240541	3698.674814
-13548	761.120775	3698.095949
-13544	761.977937	3697.477822
-13540	762.843339	3696.701240
-13536	763.706178	3696.267817
-13532	764.588624	3695.662270
-13528	765.440111	3694.929038
-13524	766.310243	3694.362716
-13520	767.166429	3693.962087
-13516	768.045351	3693.105565
-13512	768.874116	3692.576730
-13508	769.774431	3691.974646
-13504	770.615724	3691.352568
-13500	771.472139	3690.718584
-13496	772.338029	3690.131115
-13492	773.195024	3689.457457
-13488	774.062547	3688.908764
-13484	774.920961	3688.263863
-13480	775.806673	3687.600996
-13476	776.658494	3687.031262
-13472	777.505815	3686.363981
-13468	778.377061	3685.725270
-13464	779.233293	3685.058790
-13460	780.107118	3684.438874
-13456	780.956132	3683.811304
-13452	781.827241	3683.140140
-13448	782.697008	3682.571050
-13444	783.548692	3681.857984
-13440	784.398195	3681.288726
-13436	785.252626	3680.672636
-13432	786.126482	3680.053857
-13428	786.976518	3679.462098
-13424	787.827943	3678.912232
-13420	788.694032	3678.199009
-13416	789.553300	3677.616337
-13412	790.395906	3676.993804
-13408	791.274049	3676.349427
-13404	792.108919	3675.699614
-13400	792.978212	3675.099258
-13396	793.825014	3674.481545
-13392	794.700334	3673.815769
-13388	795.551439	3673.287255
-13384	796.422288	3672.641390
-13380	797.267503	3671.995580
-13376	798.135545	3671.323187
-13372	798.994630	3670.756548
-13368	799.862291	3670.081992
-13364	800.708589	3669.528009
-13360	801.569063	3668.930903
-13356	802.431306	3668.211846
-13352	803.267610	3667.552069
-13348	804.115999	3666.994293
-13344	804.992280	3666.340654
-13340	805.840990	3665.712642
-13336	806.672853	3665.085939
-13332	807.528047	3664.429146
-13328	808.393404	3663.890411
-13324	809.206071	3663.182821
-13320	810.059068	3662.507794
-13316	810.931962	3662.001658
-13312	811.791887	3661.423876
-13308	812.602266	3660.756587
-13304	813.465608	3660.114538
-13300	814.331544	3659.607820
-13296	815.175310	3658.951997
-13292	816.022295	3658.342178
-13288	816.864427	3657.784182
-13284	817.732240	3657.120123
-13280	818.577669	3656.407531
-13276	819.409196	3655.837384
-13272	820.265108	3655.264880
-13268	821.117113	3654.731734
-13264	821.959901	3654.053181
-13260	822.821840	3653.418565
-13256	823.689989	3652.776945
-13252	824.500963	3652.191302
-13248	825.359636	3651.485967
-13244	826.207094	3650.911986
-13240	827.071321	3650.283041
-13236	827.896562	3649.595382
-13232	828.751146	3649.013686
-13228	829.587526	3648.407164
-13224	830.436067	3647.727382
-13220	831.282182	3647.032150
-13216	832.147752	3646.467697
-13212	832.972169	3645.784970
-13208	833.816484	3645.252132
-13204	834.667894	3644.680363
-13200	835.498445	3644.052442
-13196	836.349229	3643.370442
-13192	837.197008	3642.849087
-13188	838.029405	3642.195296
-13184	838.882249	3641.495294
-13180	839.723497	3640.907148
-13176	840.575304	3640.277083
-13172	841.420885	3639.608176
-13168	842.219423	3639.039420
-13164	843.093797	3638.358601
-13160	843.932649	3637.824428
-13156	844.776674	3637.231153
-13152	845.626939	3636.537476
-13148	846.448137	3635.876057
-13144	847.307100	3635.305981
-13140	848.125581	3634.678455
-13136	848.976243	3634.026496
-13132	849.797365	3633.400673
-13128	850.646730	3632.742898
-13124	851.523057	3632.119275
-13120	852.352510	3631.549885
-13116	853.194063	3630.769644
-13112	853.988908	3630.259679
-13108	854.872438	3629.534866
-13104	855.714433	3628.931652
